interaction_id,customer_id,interaction_date,interaction_type,channel,duration_minutes,satisfaction_score,resolution_status,agent_id
INT00006841,CUST010985,2023-06-08,Inquiry,Email,10,4,Resolved,AGT198
INT00006842,CUST010129,2024-10-28,New Policy,In-Person,63,2,Resolved,AGT150
INT00006843,CUST007719,2022-07-06,Policy Change,Chat,12,3,Pending,AGT136
INT00006844,CUST003983,2024-09-01,Policy Change,Chat,11,4,Resolved,AGT034
INT00006845,CUST012335,2025-06-16,Inquiry,Phone,17,3,Resolved,AGT091
INT00006846,CUST008452,2024-12-30,Policy Change,Phone,47,4,Resolved,AGT195
INT00006847,CUST014783,2025-04-21,Policy Change,Email,5,2,Pending,AGT179
INT00006848,CUST011412,2024-09-18,New Policy,Phone,107,3,Escalated,AGT012
INT00006849,CUST004884,2024-12-29,Inquiry,In-Person,1,4,Resolved,AGT167
INT00006850,CUST011072,2024-06-25,Inquiry,Phone,21,4,Resolved,AGT027
INT00006851,CUST002639,2024-03-04,Inquiry,Mobile App,3,4,Resolved,AGT185
INT00006852,CUST013193,2023-10-03,Inquiry,Phone,24,5,Resolved,AGT129
INT00006853,CUST014501,2020-06-08,Inquiry,Chat,10,3,Resolved,AGT103
INT00006854,CUST007946,2023-05-03,Billing Question,Mobile App,11,4,Resolved,AGT101
INT00006855,CUST004983,2025-05-20,Inquiry,In-Person,7,3,Pending,AGT094
INT00006856,CUST003006,2021-01-25,Inquiry,Chat,11,3,Resolved,AGT144
INT00006857,CUST014708,2024-07-16,Billing Question,Phone,3,3,Resolved,AGT077
INT00006858,CUST007901,2025-05-10,Billing Question,Email,10,3,Pending,AGT143
INT00006859,CUST006330,2024-12-20,Inquiry,Mobile App,5,4,Resolved,AGT008
INT00006860,CUST010872,2024-05-20,Inquiry,Email,4,2,Resolved,AGT129
INT00006861,CUST006235,2022-06-19,Inquiry,Phone,23,3,Resolved,AGT095
INT00006862,CUST014397,2025-06-10,Policy Change,Email,1,4,Resolved,AGT067
INT00006863,CUST011453,2023-08-18,Inquiry,Phone,4,4,Pending,AGT178
INT00006864,CUST006708,2022-06-15,Complaint,Mobile App,31,1,Resolved,AGT004
INT00006865,CUST014647,2025-01-04,Claim Support,Mobile App,16,4,Resolved,AGT067
INT00006866,CUST009013,2024-11-07,Complaint,Mobile App,6,3,Resolved,AGT105
INT00006867,CUST004991,2025-05-26,Complaint,Chat,26,3,Pending,AGT146
INT00006868,CUST008068,2024-08-11,Claim Support,Chat,24,3,Resolved,AGT007
INT00006869,CUST010903,2023-06-06,Complaint,Chat,2,3,Resolved,AGT140
INT00006870,CUST006845,2022-06-14,Policy Change,Phone,1,4,Resolved,AGT133
INT00006871,CUST013740,2023-07-30,Policy Change,Phone,2,4,Resolved,AGT037
INT00006872,CUST002796,2023-12-29,Claim Support,Chat,17,4,Resolved,AGT127
INT00006873,CUST008003,2024-12-26,Inquiry,Email,3,4,Resolved,AGT136
INT00006874,CUST009245,2024-12-06,Policy Change,Mobile App,7,3,Escalated,AGT101
INT00006875,CUST008793,2022-03-18,Billing Question,Chat,2,4,Resolved,AGT033
INT00006876,CUST011161,2025-06-14,New Policy,Phone,15,4,Resolved,AGT071
INT00006877,CUST004402,2025-01-18,Inquiry,Email,7,3,Resolved,AGT138
INT00006878,CUST006026,2025-03-30,Policy Change,Email,14,4,Resolved,AGT125
INT00006879,CUST012723,2021-04-23,New Policy,Email,10,3,Resolved,AGT131
INT00006880,CUST002425,2024-01-15,Complaint,Mobile App,21,2,Pending,AGT187
INT00006881,CUST010157,2022-05-07,Claim Support,Email,26,4,Resolved,AGT158
INT00006882,CUST007734,2025-04-11,Inquiry,Phone,1,4,Resolved,AGT176
INT00006883,CUST012071,2024-09-23,Claim Support,Chat,32,3,Resolved,AGT017
INT00006884,CUST001048,2023-12-09,Billing Question,Chat,1,4,Resolved,AGT007
INT00006885,CUST013041,2024-01-30,Billing Question,In-Person,18,5,Resolved,AGT041
INT00006886,CUST007029,2023-02-25,Policy Change,Phone,27,3,Closed,AGT182
INT00006887,CUST008696,2022-03-06,Policy Change,Email,1,4,Resolved,AGT045
INT00006888,CUST006665,2025-05-19,Inquiry,Email,3,4,Pending,AGT024
INT00006889,CUST012014,2025-06-03,Policy Change,Mobile App,1,4,Resolved,AGT083
INT00006890,CUST011528,2024-06-12,Inquiry,Mobile App,15,4,Pending,AGT071
INT00006891,CUST010324,2021-05-04,Complaint,Mobile App,13,3,Closed,AGT002
INT00006892,CUST006065,2025-06-03,Claim Support,Chat,35,4,Resolved,AGT182
INT00006893,CUST001015,2024-10-07,Complaint,Phone,2,2,Escalated,AGT066
INT00006894,CUST009141,2025-02-12,Billing Question,Email,13,4,Escalated,AGT110
INT00006895,CUST003676,2022-05-21,Inquiry,In-Person,1,4,Resolved,AGT126
INT00006896,CUST011989,2025-02-09,Complaint,Phone,75,3,Resolved,AGT054
INT00006897,CUST001737,2023-07-31,Inquiry,Email,1,5,Resolved,AGT166
INT00006898,CUST006410,2023-06-16,Billing Question,Chat,7,4,Resolved,AGT140
INT00006899,CUST008255,2024-06-04,Policy Change,Email,8,4,Resolved,AGT137
INT00006900,CUST001735,2025-02-15,Inquiry,Chat,21,3,Escalated,AGT070
INT00006901,CUST007871,2024-07-03,Claim Support,Chat,15,4,Resolved,AGT042
INT00006902,CUST012961,2024-06-07,Policy Change,Chat,23,4,Resolved,AGT076
INT00006903,CUST012765,2022-11-20,Inquiry,Phone,2,3,Resolved,AGT195
INT00006904,CUST006385,2021-05-18,Claim Support,Mobile App,12,3,Resolved,AGT026
INT00006905,CUST010354,2025-05-01,Claim Support,Chat,43,3,Resolved,AGT025
INT00006906,CUST001157,2025-02-17,Claim Support,In-Person,11,4,Pending,AGT054
INT00006907,CUST004301,2022-02-07,Claim Support,Mobile App,27,3,Pending,AGT063
INT00006908,CUST010853,2021-02-01,Complaint,Chat,22,2,Pending,AGT089
INT00006909,CUST012107,2024-12-20,Policy Change,Email,26,4,Resolved,AGT120
INT00006910,CUST001740,2021-08-25,Inquiry,Phone,7,5,Resolved,AGT117
INT00006911,CUST008548,2021-07-19,Cancellation Request,Chat,27,3,Resolved,AGT112
INT00006912,CUST004283,2024-09-20,Inquiry,Email,4,4,Resolved,AGT081
INT00006913,CUST007481,2024-12-31,Complaint,Chat,5,2,Pending,AGT153
INT00006914,CUST002413,2024-07-27,Claim Support,Email,15,3,Resolved,AGT090
INT00006915,CUST009846,2024-04-10,Claim Support,Chat,138,2,Pending,AGT101
INT00006916,CUST014673,2024-07-30,Inquiry,Phone,8,3,Pending,AGT158
INT00006917,CUST006944,2023-06-03,Claim Support,Chat,9,4,Resolved,AGT015
INT00006918,CUST003150,2023-10-29,Claim Support,Email,30,3,Resolved,AGT115
INT00006919,CUST010388,2023-10-23,Policy Change,Phone,31,4,Pending,AGT037
INT00006920,CUST001366,2024-07-17,Billing Question,Chat,7,4,Resolved,AGT162
INT00006921,CUST001068,2023-05-14,Policy Change,Email,1,4,Resolved,AGT121
INT00006922,CUST004122,2025-04-03,Inquiry,Phone,7,4,Resolved,AGT084
INT00006923,CUST010274,2023-01-26,Inquiry,Chat,4,3,Resolved,AGT063
INT00006924,CUST006495,2025-02-22,Claim Support,Phone,11,3,Resolved,AGT169
INT00006925,CUST003281,2025-02-19,Inquiry,Mobile App,3,2,Escalated,AGT124
INT00006926,CUST014219,2025-06-17,Policy Change,Mobile App,10,5,Resolved,AGT019
INT00006927,CUST000542,2024-05-02,Claim Support,Email,6,4,Resolved,AGT179
INT00006928,CUST007152,2024-08-06,Inquiry,Phone,5,3,Resolved,AGT165
INT00006929,CUST013681,2025-06-12,Complaint,Phone,10,2,Resolved,AGT160
INT00006930,CUST008388,2022-02-27,Inquiry,Mobile App,2,3,Resolved,AGT166
INT00006931,CUST010070,2022-06-25,Inquiry,Phone,18,4,Resolved,AGT107
INT00006932,CUST009200,2024-01-11,Policy Change,Mobile App,8,3,Resolved,AGT023
INT00006933,CUST006498,2023-06-13,Inquiry,Mobile App,8,4,Resolved,AGT133
INT00006934,CUST014007,2023-11-23,Inquiry,Phone,3,3,Pending,AGT085
INT00006935,CUST007198,2021-12-04,Claim Support,Phone,33,2,Resolved,AGT082
INT00006936,CUST006725,2022-12-18,Complaint,Email,7,4,Resolved,AGT022
INT00006937,CUST013815,2024-10-15,Inquiry,Mobile App,11,3,Resolved,AGT027
INT00006938,CUST003422,2025-04-30,Policy Change,Phone,14,3,Resolved,AGT051
INT00006939,CUST014816,2025-05-18,Claim Support,In-Person,47,3,Pending,AGT036
INT00006940,CUST006937,2025-03-16,Complaint,In-Person,34,1,Escalated,AGT129
INT00006941,CUST005592,2022-08-23,Inquiry,In-Person,1,5,Resolved,AGT029
INT00006942,CUST008368,2024-01-14,Policy Change,Mobile App,21,3,Resolved,AGT160
INT00006943,CUST005132,2025-01-28,Complaint,Email,9,3,Resolved,AGT034
INT00006944,CUST014159,2021-08-22,Complaint,Phone,15,2,Resolved,AGT109
INT00006945,CUST011132,2025-06-23,New Policy,Phone,58,4,Resolved,AGT075
INT00006946,CUST006266,2025-04-10,Inquiry,Email,2,3,Resolved,AGT161
INT00006947,CUST009178,2022-01-24,Billing Question,Mobile App,4,3,Resolved,AGT104
INT00006948,CUST010369,2023-05-07,Inquiry,Chat,5,2,Pending,AGT147
INT00006949,CUST002925,2025-03-08,Claim Support,Mobile App,43,2,Resolved,AGT080
INT00006950,CUST012169,2024-04-09,Complaint,Mobile App,1,2,Resolved,AGT160
INT00006951,CUST003425,2024-08-12,Cancellation Request,Phone,24,5,Resolved,AGT103
INT00006952,CUST008317,2024-08-22,Billing Question,Mobile App,12,3,Pending,AGT075
INT00006953,CUST013550,2024-10-28,Inquiry,Mobile App,4,4,Resolved,AGT081
INT00006954,CUST001558,2023-03-26,Policy Change,Phone,23,5,Resolved,AGT178
INT00006955,CUST004904,2025-03-24,New Policy,Phone,14,4,Resolved,AGT149
INT00006956,CUST005609,2025-01-19,Inquiry,Email,2,4,Resolved,AGT094
INT00006957,CUST001285,2024-09-20,Policy Change,Email,1,3,Resolved,AGT091
INT00006958,CUST008366,2024-11-24,Complaint,Email,3,3,Resolved,AGT165
INT00006959,CUST003582,2024-04-24,Policy Change,Email,11,4,Resolved,AGT085
INT00006960,CUST014322,2023-03-26,Inquiry,Phone,1,2,Resolved,AGT185
INT00006961,CUST012402,2024-09-21,Policy Change,Phone,1,3,Pending,AGT190
INT00006962,CUST007830,2023-05-09,Complaint,In-Person,32,2,Pending,AGT098
INT00006963,CUST000433,2024-11-04,Inquiry,Email,12,4,Pending,AGT048
INT00006964,CUST005828,2025-05-21,Complaint,Email,4,3,Pending,AGT142
INT00006965,CUST009606,2021-02-10,Inquiry,Email,2,2,Escalated,AGT146
INT00006966,CUST006768,2024-01-22,Billing Question,Mobile App,1,2,Pending,AGT077
INT00006967,CUST006008,2025-02-21,Policy Change,In-Person,34,4,Resolved,AGT197
INT00006968,CUST010762,2023-05-05,Inquiry,Mobile App,1,2,Pending,AGT017
INT00006969,CUST014398,2025-01-18,Complaint,Chat,16,2,Resolved,AGT034
INT00006970,CUST014340,2021-07-17,Inquiry,In-Person,31,3,Resolved,AGT084
INT00006971,CUST012174,2022-06-02,Complaint,Chat,3,2,Resolved,AGT194
INT00006972,CUST006864,2023-12-09,New Policy,Chat,5,3,Resolved,AGT122
INT00006973,CUST003953,2022-02-26,Billing Question,Chat,3,3,Pending,AGT068
INT00006974,CUST008713,2024-04-08,Claim Support,In-Person,12,3,Resolved,AGT131
INT00006975,CUST011508,2023-08-04,Complaint,Phone,6,3,Resolved,AGT137
INT00006976,CUST001014,2021-01-16,Claim Support,Mobile App,19,4,Resolved,AGT107
INT00006977,CUST003824,2023-05-08,Policy Change,In-Person,6,4,Pending,AGT193
INT00006978,CUST000552,2023-02-11,Inquiry,Phone,3,3,Pending,AGT007
INT00006979,CUST003889,2024-08-29,Inquiry,Mobile App,8,3,Escalated,AGT070
INT00006980,CUST001729,2024-10-18,Inquiry,Chat,3,4,Resolved,AGT081
INT00006981,CUST009712,2024-11-10,Inquiry,Email,3,3,Pending,AGT013
INT00006982,CUST002796,2024-08-10,Policy Change,Mobile App,27,3,Resolved,AGT077
INT00006983,CUST002086,2024-11-25,Cancellation Request,In-Person,1,4,Resolved,AGT159
INT00006984,CUST011445,2020-05-10,Inquiry,Chat,5,4,Resolved,AGT068
INT00006985,CUST007002,2024-09-17,Inquiry,Email,1,2,Pending,AGT129
INT00006986,CUST001904,2023-05-12,Inquiry,Email,3,4,Resolved,AGT182
INT00006987,CUST002487,2022-02-24,Billing Question,Chat,4,4,Resolved,AGT032
INT00006988,CUST011013,2025-02-25,Inquiry,Phone,3,3,Closed,AGT030
INT00006989,CUST011620,2024-07-15,Billing Question,Email,1,4,Pending,AGT180
INT00006990,CUST004049,2023-11-21,Inquiry,Mobile App,8,3,Escalated,AGT179
INT00006991,CUST011859,2024-06-10,Inquiry,Email,23,3,Resolved,AGT033
INT00006992,CUST002823,2024-06-07,Billing Question,Email,1,4,Resolved,AGT012
INT00006993,CUST004792,2023-02-17,Billing Question,Email,16,3,Resolved,AGT153
INT00006994,CUST005103,2025-05-14,Complaint,Phone,7,2,Resolved,AGT006
INT00006995,CUST007512,2022-10-13,Policy Change,Chat,5,3,Resolved,AGT145
INT00006996,CUST014562,2023-02-04,Claim Support,Phone,16,3,Resolved,AGT160
INT00006997,CUST008993,2024-12-26,Inquiry,Chat,10,3,Resolved,AGT006
INT00006998,CUST009157,2025-06-05,Inquiry,Chat,1,4,Pending,AGT119
INT00006999,CUST014063,2025-03-18,Complaint,Phone,19,3,Closed,AGT191
INT00007000,CUST005775,2024-10-27,Policy Change,Email,11,2,Resolved,AGT165
INT00007001,CUST001675,2024-03-18,Claim Support,In-Person,4,4,Resolved,AGT108
INT00007002,CUST013062,2025-01-18,Policy Change,Chat,15,3,Resolved,AGT200
INT00007003,CUST007266,2023-06-21,Claim Support,Mobile App,13,4,Resolved,AGT048
INT00007004,CUST010064,2025-03-08,Policy Change,Email,10,4,Resolved,AGT020
INT00007005,CUST005798,2022-08-17,Complaint,Phone,35,2,Resolved,AGT138
INT00007006,CUST000203,2024-06-11,Inquiry,Chat,6,3,Resolved,AGT039
INT00007007,CUST012115,2023-09-05,Billing Question,Chat,13,4,Pending,AGT135
INT00007008,CUST008483,2024-03-23,Complaint,Chat,36,2,Resolved,AGT143
INT00007009,CUST009162,2025-01-26,Inquiry,Email,16,4,Resolved,AGT164
INT00007010,CUST005507,2023-12-13,Billing Question,Phone,15,3,Resolved,AGT041
INT00007011,CUST001171,2024-10-28,New Policy,Email,6,3,Resolved,AGT106
INT00007012,CUST001295,2025-05-11,Policy Change,Email,5,3,Resolved,AGT125
INT00007013,CUST005008,2025-06-09,New Policy,Phone,17,5,Resolved,AGT008
INT00007014,CUST006827,2024-07-19,Complaint,Chat,24,3,Resolved,AGT020
INT00007015,CUST007888,2024-12-21,Inquiry,Phone,3,4,Resolved,AGT174
INT00007016,CUST006957,2022-12-01,Inquiry,Phone,2,3,Resolved,AGT061
INT00007017,CUST010447,2024-02-07,Billing Question,Mobile App,1,3,Escalated,AGT105
INT00007018,CUST011869,2023-01-12,Claim Support,Phone,29,3,Pending,AGT163
INT00007019,CUST002841,2025-05-10,Claim Support,In-Person,47,2,Closed,AGT198
INT00007020,CUST013015,2025-05-05,Complaint,Phone,34,2,Resolved,AGT040
INT00007021,CUST012234,2025-02-17,Inquiry,Email,5,3,Resolved,AGT046
INT00007022,CUST006130,2023-04-10,Inquiry,In-Person,22,5,Resolved,AGT047
INT00007023,CUST006553,2025-02-27,Complaint,Email,38,1,Escalated,AGT015
INT00007024,CUST003414,2023-11-11,Inquiry,Chat,28,4,Escalated,AGT065
INT00007025,CUST002237,2025-06-07,Policy Change,Mobile App,16,3,Pending,AGT011
INT00007026,CUST009499,2020-04-28,Policy Change,In-Person,26,4,Resolved,AGT192
INT00007027,CUST001262,2023-06-09,Claim Support,In-Person,122,3,Resolved,AGT015
INT00007028,CUST001003,2023-10-30,Claim Support,In-Person,26,2,Closed,AGT001
INT00007029,CUST003765,2023-01-31,Inquiry,Chat,7,4,Resolved,AGT133
INT00007030,CUST007277,2023-02-21,Billing Question,Phone,1,5,Resolved,AGT152
INT00007031,CUST008098,2024-01-18,Cancellation Request,Chat,1,3,Pending,AGT164
INT00007032,CUST014386,2024-09-13,Complaint,Email,6,3,Resolved,AGT048
INT00007033,CUST014955,2025-05-25,Inquiry,Chat,47,1,Resolved,AGT025
INT00007034,CUST004286,2022-05-08,Inquiry,Phone,16,4,Resolved,AGT047
INT00007035,CUST010158,2023-11-20,Inquiry,In-Person,27,3,Resolved,AGT122
INT00007036,CUST013894,2023-03-20,Inquiry,Phone,2,4,Resolved,AGT148
INT00007037,CUST002313,2024-02-25,Complaint,Phone,10,4,Resolved,AGT092
INT00007038,CUST004443,2022-02-11,Billing Question,Phone,27,3,Pending,AGT037
INT00007039,CUST012846,2023-07-30,Claim Support,Email,19,3,Pending,AGT084
INT00007040,CUST010143,2025-05-08,Inquiry,Chat,4,3,Resolved,AGT102
INT00007041,CUST001682,2024-09-09,New Policy,Mobile App,50,3,Pending,AGT065
INT00007042,CUST012509,2024-05-04,Policy Change,Phone,4,4,Resolved,AGT169
INT00007043,CUST002323,2022-12-26,Complaint,Mobile App,11,2,Resolved,AGT003
INT00007044,CUST012400,2023-03-31,Complaint,Mobile App,8,2,Resolved,AGT198
INT00007045,CUST010644,2023-07-12,Inquiry,Email,2,4,Pending,AGT073
INT00007046,CUST011407,2023-03-06,Billing Question,In-Person,17,4,Resolved,AGT122
INT00007047,CUST002646,2024-10-27,Inquiry,Email,17,2,Pending,AGT082
INT00007048,CUST002282,2025-05-12,Billing Question,Phone,5,2,Resolved,AGT070
INT00007049,CUST007556,2024-10-10,Complaint,Email,12,2,Resolved,AGT159
INT00007050,CUST000047,2025-02-20,Billing Question,Chat,15,4,Resolved,AGT059
INT00007051,CUST004480,2023-06-27,Complaint,Mobile App,2,3,Pending,AGT073
INT00007052,CUST002915,2024-06-15,Inquiry,Chat,13,3,Resolved,AGT092
INT00007053,CUST008598,2023-11-15,New Policy,Phone,29,3,Resolved,AGT102
INT00007054,CUST003039,2025-06-25,New Policy,Email,1,3,Resolved,AGT019
INT00007055,CUST012643,2025-03-09,Cancellation Request,Mobile App,19,3,Resolved,AGT042
INT00007056,CUST004582,2023-02-03,Inquiry,Mobile App,1,2,Resolved,AGT068
INT00007057,CUST011068,2023-10-07,New Policy,Chat,37,3,Resolved,AGT073
INT00007058,CUST000531,2023-07-06,Complaint,Mobile App,1,1,Pending,AGT175
INT00007059,CUST002761,2022-12-01,Complaint,Chat,1,3,Resolved,AGT076
INT00007060,CUST006444,2025-05-07,Policy Change,Email,1,4,Resolved,AGT019
INT00007061,CUST002883,2024-08-11,Billing Question,Email,6,4,Resolved,AGT109
INT00007062,CUST008451,2022-07-25,Inquiry,Chat,20,3,Resolved,AGT071
INT00007063,CUST006778,2023-04-22,Billing Question,Mobile App,15,4,Resolved,AGT013
INT00007064,CUST002430,2024-11-04,New Policy,Mobile App,7,3,Pending,AGT099
INT00007065,CUST014230,2024-10-30,Complaint,Phone,101,1,Resolved,AGT064
INT00007066,CUST011305,2025-02-10,Inquiry,Mobile App,10,3,Resolved,AGT118
INT00007067,CUST011866,2024-09-13,Claim Support,Chat,32,2,Resolved,AGT161
INT00007068,CUST000673,2023-07-14,Inquiry,Mobile App,1,3,Resolved,AGT134
INT00007069,CUST003260,2025-02-26,Inquiry,Email,4,2,Escalated,AGT040
INT00007070,CUST003980,2021-02-11,Policy Change,Phone,23,5,Resolved,AGT155
INT00007071,CUST013984,2024-05-20,Inquiry,Chat,37,2,Pending,AGT033
INT00007072,CUST007512,2023-10-31,Complaint,Email,1,2,Resolved,AGT101
INT00007073,CUST011320,2023-11-18,Complaint,Mobile App,53,2,Escalated,AGT162
INT00007074,CUST004878,2025-05-23,Claim Support,Email,4,4,Resolved,AGT085
INT00007075,CUST011301,2023-05-09,Inquiry,Email,1,3,Resolved,AGT160
INT00007076,CUST011305,2023-09-04,Billing Question,Email,1,4,Resolved,AGT134
INT00007077,CUST011094,2021-12-24,Complaint,Email,2,1,Resolved,AGT117
INT00007078,CUST012089,2022-12-16,New Policy,Phone,33,1,Pending,AGT144
INT00007079,CUST009766,2024-10-16,Policy Change,Mobile App,10,3,Resolved,AGT013
INT00007080,CUST008959,2025-05-11,Inquiry,Mobile App,1,3,Resolved,AGT050
INT00007081,CUST002911,2023-04-26,Inquiry,Mobile App,7,3,Resolved,AGT108
INT00007082,CUST011812,2020-07-15,Complaint,Chat,72,3,Resolved,AGT043
INT00007083,CUST007928,2025-05-16,Claim Support,Mobile App,3,3,Resolved,AGT140
INT00007084,CUST010053,2024-05-04,Claim Support,Phone,4,5,Pending,AGT006
INT00007085,CUST001423,2023-12-19,Inquiry,Email,3,3,Resolved,AGT163
INT00007086,CUST000148,2024-03-10,Inquiry,Phone,5,4,Resolved,AGT100
INT00007087,CUST001918,2024-03-27,Inquiry,Phone,28,3,Resolved,AGT093
INT00007088,CUST010998,2024-12-06,Inquiry,Phone,13,3,Resolved,AGT161
INT00007089,CUST003353,2025-03-29,Policy Change,Email,2,4,Resolved,AGT035
INT00007090,CUST013572,2024-12-09,Policy Change,Chat,22,4,Resolved,AGT189
INT00007091,CUST011612,2025-06-12,Billing Question,Chat,5,4,Resolved,AGT014
INT00007092,CUST008166,2025-06-19,Policy Change,Phone,110,3,Resolved,AGT137
INT00007093,CUST010096,2025-01-05,Inquiry,Mobile App,7,3,Resolved,AGT074
INT00007094,CUST006481,2024-12-30,Claim Support,Chat,3,4,Resolved,AGT100
INT00007095,CUST012236,2024-09-12,Claim Support,Email,10,3,Resolved,AGT060
INT00007096,CUST011159,2025-05-05,Complaint,Email,25,3,Resolved,AGT105
INT00007097,CUST012471,2023-08-02,Inquiry,Phone,2,4,Resolved,AGT190
INT00007098,CUST002166,2023-08-20,New Policy,Phone,33,5,Resolved,AGT188
INT00007099,CUST004925,2021-01-01,Billing Question,Chat,1,4,Resolved,AGT019
INT00007100,CUST006099,2024-10-20,Billing Question,Phone,17,3,Resolved,AGT058
INT00007101,CUST003850,2025-04-27,Policy Change,Email,1,4,Resolved,AGT139
INT00007102,CUST011721,2023-09-27,Complaint,Phone,28,2,Closed,AGT107
INT00007103,CUST002473,2022-05-05,Complaint,Email,10,3,Pending,AGT138
INT00007104,CUST006299,2021-08-28,Inquiry,In-Person,10,4,Resolved,AGT143
INT00007105,CUST008462,2024-10-11,Policy Change,Phone,5,3,Resolved,AGT096
INT00007106,CUST006412,2021-12-10,Policy Change,In-Person,20,5,Resolved,AGT046
INT00007107,CUST011874,2024-09-06,Inquiry,Chat,2,2,Closed,AGT021
INT00007108,CUST007670,2025-06-05,Complaint,Mobile App,2,1,Resolved,AGT032
INT00007109,CUST008043,2025-07-02,Complaint,Mobile App,1,2,Pending,AGT107
INT00007110,CUST006442,2021-12-03,Inquiry,Email,13,4,Resolved,AGT069
INT00007111,CUST014547,2023-06-27,Inquiry,Chat,1,3,Pending,AGT081
INT00007112,CUST009224,2022-12-09,Inquiry,Email,3,2,Escalated,AGT170
INT00007113,CUST001138,2022-06-28,Inquiry,Phone,24,4,Resolved,AGT083
INT00007114,CUST012770,2022-12-27,Inquiry,Email,8,3,Resolved,AGT153
INT00007115,CUST000179,2024-03-21,Complaint,Email,19,4,Resolved,AGT151
INT00007116,CUST000394,2025-02-16,Complaint,Phone,18,2,Closed,AGT042
INT00007117,CUST009367,2024-12-14,Complaint,Chat,18,4,Resolved,AGT132
INT00007118,CUST002831,2023-09-09,Policy Change,Phone,17,2,Resolved,AGT166
INT00007119,CUST008210,2024-04-15,Billing Question,Phone,3,3,Resolved,AGT110
INT00007120,CUST001336,2022-11-21,Billing Question,Phone,3,4,Resolved,AGT149
INT00007121,CUST009705,2024-04-21,Policy Change,Phone,24,4,Resolved,AGT182
INT00007122,CUST012999,2024-08-06,Claim Support,Chat,11,3,Pending,AGT033
INT00007123,CUST003843,2024-10-08,Policy Change,Chat,27,2,Pending,AGT168
INT00007124,CUST007815,2022-06-26,Policy Change,Email,5,4,Resolved,AGT080
INT00007125,CUST000126,2025-06-10,Claim Support,Email,17,3,Resolved,AGT110
INT00007126,CUST000933,2023-05-07,Complaint,Email,19,4,Resolved,AGT136
INT00007127,CUST000364,2024-09-28,Complaint,Mobile App,15,2,Pending,AGT140
INT00007128,CUST011780,2021-05-04,Inquiry,Phone,10,4,Resolved,AGT139
INT00007129,CUST014433,2025-02-12,Inquiry,Chat,1,3,Resolved,AGT079
INT00007130,CUST006755,2022-03-07,Policy Change,Email,7,3,Pending,AGT051
INT00007131,CUST008197,2024-03-25,Inquiry,Phone,7,4,Resolved,AGT193
INT00007132,CUST011954,2021-10-28,Inquiry,Chat,30,2,Escalated,AGT164
INT00007133,CUST013579,2022-09-12,Complaint,Email,8,1,Pending,AGT146
INT00007134,CUST000461,2023-12-08,Inquiry,Phone,1,2,Escalated,AGT080
INT00007135,CUST000064,2025-03-16,Inquiry,Phone,7,4,Resolved,AGT147
INT00007136,CUST012081,2023-02-25,Inquiry,Phone,1,4,Pending,AGT079
INT00007137,CUST012645,2025-03-16,Complaint,Phone,3,3,Pending,AGT144
INT00007138,CUST003992,2025-04-21,Billing Question,Mobile App,1,4,Resolved,AGT183
INT00007139,CUST010246,2025-02-06,Policy Change,Phone,23,2,Pending,AGT133
INT00007140,CUST001761,2025-05-15,Inquiry,Email,13,3,Resolved,AGT028
INT00007141,CUST002280,2024-03-11,Complaint,Email,1,2,Resolved,AGT088
INT00007142,CUST011159,2025-05-22,Claim Support,Mobile App,1,5,Resolved,AGT097
INT00007143,CUST014566,2025-04-03,Inquiry,Mobile App,14,5,Resolved,AGT108
INT00007144,CUST004847,2024-09-19,Complaint,Chat,14,3,Resolved,AGT104
INT00007145,CUST001362,2024-03-23,Inquiry,Phone,21,5,Resolved,AGT170
INT00007146,CUST008746,2023-10-22,Policy Change,Mobile App,20,4,Resolved,AGT173
INT00007147,CUST008506,2025-07-01,Inquiry,Email,4,2,Resolved,AGT074
INT00007148,CUST012092,2023-03-09,Inquiry,Chat,8,2,Pending,AGT106
INT00007149,CUST010619,2024-05-09,Claim Support,Phone,30,3,Pending,AGT010
INT00007150,CUST002222,2023-12-18,Inquiry,Email,13,2,Resolved,AGT051
INT00007151,CUST002325,2023-07-25,Inquiry,Chat,6,4,Resolved,AGT165
INT00007152,CUST013092,2025-01-05,Inquiry,Phone,17,4,Resolved,AGT112
INT00007153,CUST000297,2024-08-30,Policy Change,Phone,5,3,Pending,AGT168
INT00007154,CUST005982,2025-03-05,New Policy,Chat,68,2,Pending,AGT110
INT00007155,CUST003142,2024-06-01,Inquiry,Mobile App,21,3,Pending,AGT119
INT00007156,CUST009796,2024-08-09,Policy Change,In-Person,31,2,Resolved,AGT193
INT00007157,CUST003498,2022-10-13,Inquiry,Email,13,4,Resolved,AGT042
INT00007158,CUST009744,2024-04-09,Claim Support,Phone,15,5,Resolved,AGT100
INT00007159,CUST004215,2023-11-12,Billing Question,Chat,7,4,Resolved,AGT116
INT00007160,CUST000622,2025-04-17,Policy Change,Phone,63,1,Resolved,AGT118
INT00007161,CUST010471,2023-01-30,Complaint,Phone,49,3,Resolved,AGT091
INT00007162,CUST013672,2024-04-07,Inquiry,Email,1,4,Resolved,AGT141
INT00007163,CUST013415,2025-03-09,Complaint,Email,17,3,Resolved,AGT091
INT00007164,CUST012174,2022-05-07,Claim Support,Phone,71,3,Resolved,AGT162
INT00007165,CUST009073,2021-04-04,Policy Change,Phone,29,4,Resolved,AGT110
INT00007166,CUST005004,2024-02-29,Policy Change,Phone,27,3,Resolved,AGT016
